scope,method_code,method_name,asin,status,status_reason,sample_count,mad,poa,mae,wape,bias
day_pbf_3,M04,Moving Average,B0FL7P8Q9L,success,,3,0.777778,0.0,0.777778,0.0,0.0
day_pbf_3,M04,Moving Average,B0FLJSHSFS,success,,3,2.555556,70.833337,2.555556,0.958333,-0.291667
day_pbf_3,M04,Moving Average,B0FLJZZWLZ,success,,3,1.444444,138.888883,1.444444,0.722222,0.388889
day_pbf_3,M04,Moving Average,B0FMDX4JNH,success,,3,0.444444,33.3333,0.444444,1.333333,-0.666667
day_pbf_3,M04,Moving Average,B0FN3GPQPP,success,,3,0.666667,233.3334,0.666667,2.0,1.333334
day_pbf_3,M04,Moving Average,B0FNM7DK96,success,,3,2.777778,133.333333,2.777778,0.555556,0.333333
day_pbf_3,M04,Moving Average,B0FNRM3Z2W,success,,3,2.0,400.0,2.0,3.0,3.0
day_pbf_3,M04,Moving Average,B0FNRNDRSN,success,,3,6.666667,111.111111,6.666667,1.111111,0.111111
day_pbf_3,M04,Moving Average,B0FP93ZF8L,success,,3,2.555555,109.090909,2.555555,0.69697,0.090909
day_pbf_3,M04,Moving Average,B0FP94W8PZ,success,,3,5.222222,111.111113,5.222222,1.044444,0.111111
day_pbf_3,M04,Moving Average,B0FPRBWP9V,success,,3,1.0,158.33335,1.0,0.75,0.583333
day_pbf_3,M04,Moving Average,B0FRDKYSB6,success,,3,1.888889,200.000033,1.888889,1.888889,1.0
day_pbf_3,M04,Moving Average,B0FRFFPLG7,success,,3,3.444444,59.259256,3.444444,1.148148,-0.407407
day_pbf_3,M04,Moving Average,B0FVKMRJTQ,success,,3,0.444444,99.9999,0.444444,1.333333,-1e-06
day_pbf_3,M04,Moving Average,B0FXL8R4RS,success,,3,1.111111,113.33334,1.111111,0.666667,0.133333
day_pbf_3,M04,Moving Average,B0FXL96HWM,success,,3,2.111111,119.99998,2.111111,1.266667,0.2
day_pbf_3,M04,Moving Average,B0G3PMF8HY,success,,3,1.0,158.33335,1.0,0.75,0.583333
day_pbf_3,M05,Linear Approximation,B09L62YVGX,success,,3,6.166667,170.0,6.166667,0.74,0.7
day_pbf_3,M05,Linear Approximation,B09RV49DW5,success,,3,2.0,140.0,2.0,1.2,0.4
day_pbf_3,M05,Linear Approximation,B09RVVQWD2,success,,3,2.833333,191.666667,2.833333,1.416667,0.916667
day_pbf_3,M05,Linear Approximation,B0B18XTX3L,success,,3,15.5,175.892857,15.5,0.830357,0.758929
day_pbf_3,M05,Linear Approximation,B0B1C64GGG,success,,3,0.5,0.0,0.5,0.0,0.0
day_pbf_3,M05,Linear Approximation,B0B8MWQZ1T,success,,3,7.5,217.857143,7.5,1.607143,1.178571
day_pbf_3,M05,Linear Approximation,B0B8MZZ37D,success,,3,26.833333,158.035714,26.833333,1.4375,0.580357
day_pbf_3,M05,Linear Approximation,B0B9GN2P4L,success,,3,2.0,150.0,2.0,1.5,0.5
day_pbf_3,M05,Linear Approximation,B0B9RY9YMC,success,,3,8.166667,152.564103,8.166667,0.628205,0.525641
day_pbf_3,M05,Linear Approximation,B0B9Y3YL58,success,,3,0.833333,150.0,0.833333,2.5,0.5
day_pbf_3,M05,Linear Approximation,B0B9Y4DL4B,success,,3,1.333333,133.333333,1.333333,1.333333,0.333333
day_pbf_3,M05,Linear Approximation,B0BG89GBDF,success,,3,3.333333,144.444444,3.333333,1.111111,0.444444
day_pbf_3,M05,Linear Approximation,B0BGHMLJYD,success,,3,1.333333,100.0,1.333333,4.0,0.0
day_pbf_3,M05,Linear Approximation,B0BJ1JKY1T,success,,3,2.5,150.0,2.5,2.5,0.5
day_pbf_3,M05,Linear Approximation,B0BJ1JW6PY,success,,3,1.666667,100.0,1.666667,1.666667,0.0
day_pbf_3,M05,Linear Approximation,B0BJ1NZV67,success,,3,3.833333,116.666667,3.833333,1.277778,0.166667
day_pbf_3,M05,Linear Approximation,B0BZYCBP3C,success,,3,18.166667,164.772727,18.166667,1.238636,0.647727
day_pbf_3,M05,Linear Approximation,B0BZYD5VVL,success,,3,3.666667,191.666667,3.666667,0.916667,0.916667
day_pbf_3,M05,Linear Approximation,B0C1G82F7Z,success,,3,2.833333,225.0,2.833333,4.25,1.25
day_pbf_3,M05,Linear Approximation,B0C1GNZHF7,success,,3,0.0,0.0,0.0,0.0,0.0
day_pbf_3,M05,Linear Approximation,B0C4XXMZVZ,success,,3,9.666667,125.0,9.666667,1.8125,0.25
day_pbf_3,M05,Linear Approximation,B0C9GP9ZYC,success,,3,4.666667,50.0,4.666667,1.0,-0.5
day_pbf_3,M05,Linear Approximation,B0CDWJS9J6,success,,3,2.5,283.333333,2.5,2.5,1.833333
